ch_name,x,y,z
Fp1,-27.03339385986328,83.20023345947266,-3.0549352169036865
AF3,-35.56089782714844,76.2605972290039,24.12797737121582
F7,-70.77434539794922,51.420570373535156,-3.0549352169036865
F3,-47.70734786987305,58.91366958618164,43.76761245727539
FC1,-32.8002815246582,32.8002815246582,74.23407745361328
FC5,-77.72145080566406,29.834470748901367,27.04987144470215
T7,-87.48189544677734,0.0,-3.0549352169036865
C3,-62.96757125854492,0.0,60.80707550048828
CP1,-32.8002815246582,-32.8002815246582,74.23407745361328
CP5,-77.72145080566406,-29.834470748901367,27.04987144470215
P7,-70.77434539794922,-51.420570373535156,-3.0549352169036865
P3,-47.70734786987305,-58.91366958618164,43.76761245727539
Pz,3.855649930188318e-15,-62.96757125854492,60.80707550048828
PO3,-35.56089782714844,-76.2605972290039,24.12797737121582
O1,-27.03339385986328,-83.20023345947266,-3.0549352169036865
Oz,5.3567197911815e-15,-87.48189544677734,-3.0549352169036865
O2,27.03339385986328,-83.20023345947266,-3.0549352169036865
PO4,35.56089782714844,-76.2605972290039,24.12797737121582
P4,47.70734786987305,-58.91366958618164,43.76761245727539
P8,70.77434539794922,-51.420570373535156,-3.0549352169036865
CP6,77.72145080566406,-29.834470748901367,27.04987144470215
CP2,32.8002815246582,-32.8002815246582,74.23407745361328
C4,62.96757125854492,0.0,60.80707550048828
T8,87.48189544677734,0.0,-3.0549352169036865
FC6,77.72145080566406,29.834470748901367,27.04987144470215
FC2,32.8002815246582,32.8002815246582,74.23407745361328
F4,47.70734786987305,58.91366958618164,43.76761245727539
F8,70.77434539794922,51.420570373535156,-3.0549352169036865
AF4,35.56089782714844,76.2605972290039,24.12797737121582
Fp2,27.03339385986328,83.20023345947266,-3.0549352169036865
Fz,3.855649930188318e-15,62.96757125854492,60.80707550048828
Cz,0.0,0.0,87.53522491455078
